"SampleID","Upper rhombic lip","Splatter","Lower rhombic lip","Mammillary body","Thalamic excitatory","Amygdala excitatory","Medium spiny neuron","Eccentric medium spiny neuron","Miscellaneous","Cerebellar inhibitory","Midbrain-derived inhibitory","CGE interneuron","LAMP5-LHX6 and Chandelier","MGE interneuron","Deep-layer near-projecting","Deep-layer corticothalamic and 6b","Hippocampal CA1-3","Upper-layer intratelencephalic","Deep-layer intratelencephalic","Hippocampal dentate gyrus","Hippocampal CA4","oligodendrocyte","astrocyte","Bergmann glial cell","oligodendrocyte precursor cell","ependymal cell","choroid plexus epithelial cell","fibroblast","pericyte","vascular associated smooth muscle cell","endothelial cell","central nervous system macrophage"
"GTEX-1122O-2426-SM-5GIDN",0,0,0,0,0.0285336942127818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971466305787218,0,0,0,0,0,0
"GTEX-1128S-0005-SM-5P9HI",0,0,0,0,0.00189027594026168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645766958323708,0,0,0,0.24404519861207,0,0.10829756712396
"GTEX-1128S-0008-SM-5Q5DP",0,0,0,0,0.0350262501569265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964973749843073,0,0,0,0,0,0
"GTEX-1128S-0126-SM-5H12S",0,0,0,0,0.0285292088871686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971470791112831,0,0,0,0,0,0
"GTEX-1128S-0326-SM-5GZZF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23993325773258,0,0,0,0.76006674226742,0,0
"GTEX-1128S-0726-SM-5N9D6",0,0,0,0,0.0205903823353999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9794096176646,0,0,0,0,0,0
"GTEX-1128S-0826-SM-5GZZI",0,0,0,0,0.00749637277107046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99250362722893,0,0,0,0,0,0
"GTEX-1128S-0926-SM-5GZZU",0,0,0,0,0.013693791662887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986306208337113,0,0,0,0,0,0
"GTEX-1128S-1626-SM-5H12O",0,0,0,0,0.0463604129505882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953639587049412,0,0,0,0,0,0
"GTEX-1128S-2126-SM-5H12U",0,0,0,0,0.0192561008229667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980743899177033,0,0,0,0,0,0
